State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),All People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Murder Rate,Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Average Violent Crimes Reported (2013-17),Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,Estimated Average Arrests per Year,Killings by Police per 10k Arrests
New Mexico,Albuquerque,Albuquerque Police Department,3.0,18.0,,,,11.0,,32.0,545852.0,14878.0,229933.0,20627.0,13674.0,418.0,14092.0,1224.0,10043.0,255055.0,28.48418617248535,30.0,5.495995251460103,8.374849906986825,28.80571505386669,6.834288994744432,10.081859094817085,4.214881032396828,1.4751877046127309,4325.0,4934.0,5406.0,6245.0,7686.0,7646.0,6040.333333333333,11.065881105745392,27700.0,25447.0,22126.0,20341.0,21130.0,22254.0,22259.6,14.375819870977018
California,Anaheim,Anaheim Police Department,3.0,7.0,,,,3.0,,13.0,336265.0,8209.0,92362.0,743.0,49210.0,1437.0,50647.0,628.0,6209.0,177467.0,27.784099578857422,14.0,4.163383046109467,5.52285506116562,52.20750743956982,4.64012720135368,5.634850422895524,11.25130953831161,1.2143741277721114,1130.0,1101.0,1271.0,1209.0,1253.0,1192.0,1192.6666666666667,3.546805842614208,7891.0,8137.0,8381.0,9415.0,8869.0,10019.0,8964.2,14.50213069766404
Alaska,Anchorage,Anchorage Police Department,1.0,1.0,2.0,,,5.0,4.0,13.0,291826.0,15308.0,182814.0,22047.0,23208.0,5776.0,28984.0,562.0,20050.0,22061.0,34.3250732421875,12.0,4.11203936592353,6.363870447262606,9.332188584866923,3.9071718483579723,6.475551555103706,2.3884766135354063,1.6573500747926204,2435.0,2605.0,3226.0,3422.0,3564.0,3824.0,3179.3333333333335,10.894619853382952,17601.0,14748.0,14387.0,13294.0,13871.0,13973.0,14054.6,9.24964068703485
Texas,Arlington,Arlington Police Department,7.0,1.0,,2.0,,3.0,,13.0,365438.0,67087.0,164022.0,1338.0,24564.0,373.0,24937.0,597.0,7188.0,100269.0,39.73958969116211,13.0,3.557374985633678,5.081964265190969,14.906017559288687,2.6128899084965957,1.4247388809815882,5.704801228255847,0.5452732150515114,1837.0,1854.0,1946.0,2188.0,,1784.0,1921.8,5.258894805685232,17258.0,16222.0,13989.0,11024.0,8397.0,9566.0,11839.6,10.980100679076996
Georgia,Atlanta,Atlanta Police Department,13.0,,,,,1.0,1.0,15.0,420003.0,224316.0,152377.0,754.0,13098.0,115.0,13213.0,739.0,6789.0,21815.0,74.11972045898438,93.0,22.142698980721566,5.10200437343815,8.279136829931245,0.9375243170369733,0.0,8.830850229141031,0,5517.0,5577.0,5203.0,5121.0,4504.0,3814.0,4956.0,11.799915714887751,30505.0,26958.0,,22161.0,22581.0,,23900.0,6.2761506276150625
Colorado,Aurora,Aurora Police Department,9.0,3.0,,1.0,,7.0,2.0,22.0,325078.0,49003.0,153715.0,1487.0,15735.0,919.0,16654.0,677.0,10279.0,93263.0,28.71759796142578,11.0,3.3838032718301454,9.66800934808613,26.2374606802499,6.505545977946199,4.595299621194135,4.033091268464613,0.7063664812718564,1436.0,1448.0,1660.0,1939.0,2239.0,2716.0,1906.3333333333333,5.864233609574727,21182.0,20469.0,19155.0,17455.0,15907.0,15662.0,17729.6,12.408627380200343
Texas,Austin,Austin Police Department,5.0,7.0,,1.0,,19.0,,32.0,790390.0,60760.0,385271.0,1967.0,49159.0,401.0,49560.0,1448.0,13677.0,277707.0,54.1422004699707,32.0,4.048634218550336,5.7837631693576235,11.755854415498918,7.045133722199996,3.600917513782512,1.6686488687155676,0.5111212442193429,3123.0,3581.0,3497.0,3903.0,4032.0,3720.0,3642.6666666666665,4.608695285449799,37024.0,36524.0,33101.0,30687.0,28485.0,24359.0,30631.2,10.446864634751496
California,Bakersfield,Bakersfield Police Department,3.0,15.0,,1.0,,5.0,,24.0,347483.0,26677.0,131311.0,2265.0,20496.0,357.0,20853.0,681.0,7491.0,158205.0,43.388790130615234,17.0,4.892325667730508,9.86687529626321,16.06520330514783,5.43964872924366,13.544813013856345,2.9533530756831734,2.4900161183274867,1857.0,1678.0,1810.0,1821.0,1827.0,1895.0,1814.6666666666667,5.222317830416644,16786.0,20912.0,21814.0,21629.0,16822.0,13048.0,18845.0,12.735473600424516
Maryland,Baltimore,Baltimore Police Department,27.0,,,,,3.0,1.0,31.0,620961.0,392938.0,174120.0,1884.0,14397.0,192.0,14589.0,942.0,10528.0,25960.0,68.90399932861328,211.0,33.97958970048038,7.131802848442058,9.816161473674873,2.461356699812937,0.0,3.9881100835246275,0,8725.0,8346.0,9542.0,11010.0,12430.0,11100.0,10192.166666666666,16.41353751148086,47560.0,46232.0,32939.0,29661.0,29044.0,25567.0,32688.6,9.483428473535117
Louisiana,Baton Rouge,Baton Rouge Police Department,10.0,,,,,,,10.0,229493.0,124542.0,86679.0,397.0,7469.0,39.0,7508.0,332.0,2382.0,7653.0,66.93819427490234,53.0,23.094386321151408,6.224901973356175,11.470599705893825,0.0,0.0,No White People were Killed by Police,No White People were Killed by Police,2127.0,2120.0,2001.0,2143.0,2335.0,2067.0,2132.1666666666665,9.290769943600313,,,15244.0,13322.0,12829.0,10773.0,13042.0,7.667535654040791
Alabama,Birmingham,Birmingham Police Department,4.0,,,,,3.0,,7.0,212237.0,155258.0,44819.0,361.0,2132.0,48.0,2180.0,150.0,1765.0,7704.0,62.555355072021484,52.0,24.50091171661869,4.71171379165744,3.6805096769800687,9.56227110313547,0.0,0.38489911416266254,0,2852.0,3369.0,3707.0,,,4025.0,3488.25,16.435635633749065,,,,,,,,
Massachusetts,Boston,Boston Police Department,9.0,1.0,,1.0,,,1.0,12.0,617594.0,138073.0,290312.0,1227.0,54846.0,182.0,55028.0,10078.0,14959.0,107917.0,69.17049407958984,53.0,8.58168958895326,2.7757486541088716,9.311844355625546,0.0,1.3237686634834442,No White People were Killed by Police,No White People were Killed by Police,5037.0,4749.0,4702.0,4767.0,4570.0,4324.0,4691.5,7.596414472938532,12716.0,13647.0,11423.0,10247.0,9994.0,8843.0,10830.8,11.07951397865347
New York,Buffalo,Buffalo Police Department,1.0,2.0,,,,,,3.0,261310.0,97637.0,119801.0,1597.0,8313.0,79.0,8392.0,445.0,5919.0,27519.0,65.89344024658203,60.0,22.96123378362864,1.640088127402046,1.4631455581095576,0.0,10.382437069453314,,,3249.0,3174.0,2887.0,2857.0,2611.0,2692.0,2911.6666666666665,11.142576505555342,14774.0,12893.0,12354.0,10937.0,10050.0,10720.0,11390.8,2.633704393018928
